Designator,Mid X,Mid Y,Rotation,Layer
BRD1,136.0,-70.817,0.0,top
C1,159.725,-77.5,0.0,top
C2,172.0,-74.275,90.0,top
C3,156.0,-65.0,0.0,top
C4,163.725,-70.5,0.0,top
C5,112.0,-63.0,180.0,top
C6,129.275,-51.5,180.0,top
J1,110.55,-69.5,270.0,top
J2,159.27,-53.135,90.0,top
R1,163.5,-85.0,180.0,top
R2,163.490411,-86.554819,0.0,top
R3,116.288536,-67.24586,270.0,top
R4,116.296665,-70.2917,270.0,top
R5,170.675,-57.5,0.0,top
R6,167.5,-57.5,0.0,top
R7,168.5,-80.5,0.0,top
R9,164.175,-57.5,0.0,top
U1,168.8,-84.5,0.0,top
U2,166.5,-75.0,180.0,top
U3,167.0,-63.5,270.0,top
Y1,158.386193,-69.711133,0.0,top
